"county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Vodka",40851,4101
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Rum",31541,2376
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Brandy",7981,695
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Gin",2051,160
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Schnapps",9266,908
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Whisky",113112,7956
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Tequila",11397,760
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Amaretto",583,77
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Misc",14372,918
"Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Distilled Spirits",1618,110
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Gin",2333,212
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Rum",14309,985
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Distilled Spirits",1044,68
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Amaretto",450,60
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Whisky",103643,7006
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Misc",13064,780
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Tequila",9413,712
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Vodka",25321,2686
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Brandy",2900,249
"Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Schnapps",7172,518
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Vodka",158147,15919
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Amaretto",2381,239
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Misc",69287,4301
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Whisky",287559,21650
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Schnapps",79787,6237
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Distilled Spirits",3430,232
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Gin",11174,901
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Rum",123946,8436
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Tequila",22729,1451
"Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Brandy",40302,3649
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Tequila",36133,2679
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Distilled Spirits",3942,186
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Rum",105160,7627
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Gin",13018,1124
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Brandy",11199,880
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Misc",70681,3909
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Amaretto",5257,506
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Whisky",314443,19653
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Schnapps",45465,3757
"Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Vodka",160579,15761
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Distilled Spirits",356,18
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Amaretto",1481,197
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Whisky",71730,5796
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Misc",10066,624
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Brandy",3716,346
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Rum",30595,2232
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Gin",2028,162
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Schnapps",6047,564
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Vodka",31303,3926
"Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Tequila",3430,237
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Schnapps",43782,3419
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Distilled Spirits",4114,178
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Brandy",24499,2159
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Gin",10103,933
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Vodka",138430,14600
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Rum",103779,7354
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Tequila",28704,2080
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Amaretto",2658,221
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Whisky",288848,21693
"Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Misc",51367,3242
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Misc",1310459,75360
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Tequila",1040044,56138
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Schnapps",754695,51979
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Gin",579620,44616
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Brandy",1308312,62581
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Whisky",4490927,275531
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Rum",1953607,137217
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Amaretto",58143,5916
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Distilled Spirits",124361,13533
"Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Vodka",3669281,296296
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Rum",193903,13826
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Distilled Spirits",8443,524
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Tequila",52539,3498
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Gin",32274,2692
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Schnapps",61374,4607
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Amaretto",5443,482
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Whisky",586592,40583
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Brandy",30032,2335
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Misc",110392,6595
"Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,"Vodka",291581,28754
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Misc",137292,8384
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Rum",317573,23389
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Whisky",665938,47591
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Schnapps",93232,7445
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Tequila",81558,5547
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Brandy",40976,3437
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Vodka",357142,34371
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Amaretto",6463,663
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Distilled Spirits",7044,447
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Gin",37452,2914
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Vodka",196392,19334
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Gin",15637,1335
