city,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Ackley,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
Ackworth,85.5,12.7,9.1,41250,66,66,0,0,0,0,0,0
Adair,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
Adel,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
Afton,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
Agency,86.8,12.1,7.9,26375,619,582,0,7,0,17,0,13
Ainsworth,82.7,22.1,5,31118,451,417,7,0,0,0,8,19
Akron,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
Albert City,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
Albia,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
Albion,87.1,12.4,5.2,30595,573,495,0,0,0,0,4,74
Alburnett,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
Alden,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
Alexander,83.1,10.1,14.3,21250,150,147,3,0,0,0,0,0
Algona,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
Alleman,96.8,34,1.4,41477,499,492,0,0,0,0,3,4
Allerton,89.7,9.4,2.9,22000,549,510,11,7,0,0,0,21
Allison,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
Alta,88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29
Alta Vista,92,8,1.3,30927,301,296,0,0,2,0,0,3
Alton,90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20
Altoona,94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335
Alvord,94.8,7.8,2.1,28182,236,213,0,1,2,2,8,10
Amana,92.9,30.3,0,38438,367,347,20,0,0,0,0,0
Ames,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
Anamosa,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
Anderson,,,,,0,0,0,0,0,0,0,0
Andover,94.6,16.2,0,27188,113,111,0,0,0,0,0,2
Andrew,87.6,11,3.9,26579,519,502,12,0,0,0,0,5
Anita,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
Ankeny,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
Anthon,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
Aplington,90.9,20.1,1.5,30060,1005,1005,0,0,0,0,0,0
Arcadia,93.4,13.8,2.8,30096,539,520,3,0,0,0,0,16
Archer,92.9,13.3,2.5,30313,177,141,1,17,0,0,1,17
Aredale,80.9,4.3,16,31000,58,58,0,0,0,0,0,0
Arion,70.8,2.2,0,25313,126,126,0,0,0,0,0,0
Arispe,95,16.7,0,31250,87,87,0,0,0,0,0,0
Arlington,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
Armstrong,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
Arnolds Park,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
Arthur,93.3,10.1,0,30682,254,247,0,0,0,0,0,7
Asbury,96.2,46.9,1,42522,5201,4690,60,0,313,0,23,115
Ashton,87.4,14.7,1.3,27708,427,396,5,7,0,6,0,13
Aspinwall,100,6.7,0,28750,18,18,0,0,0,0,0,0
Atalissa,86.4,3.5,6.6,35625,339,311,0,0,0,0,7,21
Athelstan,0,0,0,,11,11,0,0,0,0,0,0
Atkins,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
Atlantic,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
Auburn,87.6,8.6,8.1,23750,302,302,0,0,0,0,0,0
Audubon,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
Aurelia,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
Aurora,82.1,24.8,3,27708,234,206,1,14,5,0,2,6
Avoca,89.7,22.6,3.4,31336,1478,1447,0,0,0,0,0,31
Ayrshire,91,13.5,3.8,25972,136,136,0,0,0,0,0,0
Badger,97.6,16,3.6,29732,487,481,0,0,0,3,0,3
Bagley,90.5,15.1,3.2,27083,335,331,0,3,1,0,0,0
Baldwin,90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1
Balltown,80.8,9.6,0,31250,68,65,0,0,0,0,2,1
Bancroft,95.8,17.2,2.7,30919,712,672,24,0,0,0,8,8
Bankston,91.7,33.3,0,33750,28,28,0,0,0,0,0,0
Barnes City,79.3,4.8,16,23750,265,238,7,2,0,0,0,18
Barnum,85.7,9.5,0,23750,284,284,0,0,0,0,0,0
Bartlett,,,,,0,0,0,0,0,0,0,0
Bassett,96.2,1.9,0,24167,63,63,0,0,0,0,0,0
Batavia,88.4,4.7,9.4,28750,637,637,0,0,0,0,0,0
Battle Creek,92.1,13.7,3.3,26797,698,661,0,0,13,0,0,24
Baxter,91.4,21.7,4.8,34813,1081,1069,0,12,0,0,0,0
Bayard,85.6,8,7.6,19464,455,451,2,1,0,0,0,1
Beacon,81.5,7.1,15.1,23750,526,521,0,0,0,0,0,5
Beaconsfield,71.1,0,100,,38,38,0,0,0,0,0,0
Beaman,90.8,9.9,0,36250,238,234,0,4,0,0,0,0
Beaver,92.6,14.8,0,39583,127,76,0,0,0,0,0,51
Beaverdale,91.1,14.7,10.8,29063,1385,1256,52,0,13,0,0,64
Bedford,92.8,16,3.8,24786,1446,1396,12,2,16,0,6,14
Belle Plaine,87.1,15.2,5.4,27043,2562,2523,0,0,7,0,0,32
Bellevue,87.2,18.2,2.5,32158,2193,2183,0,0,3,0,0,7
Belmond,91.5,14.5,3.3,33262,2686,2551,0,0,16,0,92,27
Bennett,86.1,13.9,2.9,35795,360,357,0,0,0,0,0,3
Bentley,100,25.3,0,70625,107,107,0,0,0,0,0,0
Benton,87.2,25.6,0,25313,43,43,0,0,0,0,0,0
Berkley,78.9,10.5,10,,21,21,0,0,0,0,0,0
Bernard,96.6,15.9,0,33750,127,126,0,0,0,0,0,1
Bertram,95.7,29.1,3.3,40179,341,323,4,0,0,0,0,14
Bettendorf,97.3,49.1,4.3,42397,35048,31018,1196,118,1819,0,411,486
Bevington,90,0,5.9,29167,54,53,0,1,0,0,0,0
Birmingham,93.4,14.3,2.1,21184,546,528,2,0,0,0,6,10
Blairsburg,94.8,15.6,3.6,30375,128,128,0,0,0,0,0,0
Blairstown,88.5,8.3,7.5,31894,744,722,0,0,3,0,12,7
Blakesburg,85.9,9.5,9.6,30417,302,296,0,0,0,0,0,6
Blanchard,80,0,8,29583,29,29,0,0,0,0,0,0
Blencoe,91.3,14.3,7.3,21111,253,246,0,0,0,0,0,7
Blockton,92.8,9.9,4.1,23393,153,151,0,0,0,0,0,2
Bloomfield,94.7,18.3,7.4,27708,2622,2585,2,0,17,0,0,18
Blue Grass,90.1,18.1,4.7,37391,1563,1537,6,11,0,0,5,4
Bode,90.2,11.6,11.3,26625,282,280,0,0,0,0,0,2
Bolan,100,0,0,,40,40,0,0,0,0,0,0
Bonaparte,86.8,3.8,5.4,23750,441,440,0,0,0,0,0,1
Bondurant,94.2,34.8,1.1,43068,5079,4939,0,0,82,0,0,58
Boone,95.8,19.3,4.7,29826,12609,12212,262,53,27,0,8,47
Bouton,94.8,8.2,9.5,27188,161,155,0,0,0,0,0,6
Boxholm,93.6,16,11.4,27778,221,216,0,0,5,0,0,0
Boyden,85.2,13.3,2.8,29938,794,767,0,0,2,0,18,7
Braddyville,97.2,11.9,9.6,19375,152,142,0,10,0,0,0,0
Bradford,85.5,0,0,23750,62,62,0,0,0,0,0,0
Bradgate,93,2.3,5.7,27708,57,56,0,0,0,0,0,1
Brandon,81.4,10.4,1.2,25260,330,330,0,0,0,0,0,0
Brayton,89.9,7.1,0,31250,145,145,0,0,0,0,0,0
Breda,97.7,15.2,0,31993,438,438,0,0,0,0,0,0
Bridgewater,98.1,18.1,0,37938,140,139,0,0,0,0,0,1
Brighton,91,3.6,6.9,27188,595,582,12,0,0,0,0,1
Bristow,79.8,5.3,4.8,27031,153,129,6,0,0,0,0,18
Britt,90.8,16.4,3.9,33640,1919,1867,8,3,5,0,23,13
Bronson,96.4,7.7,4.3,32404,310,295,2,13,0,0,0,0
Brooklyn,92.1,17.7,4.9,31317,1422,1404,0,0,0,0,0,18
Brunsville,98.9,24.2,0,40938,105,103,0,2,0,0,0,0
Buckeye,85.5,3.2,7.3,22019,98,98,0,0,0,0,0,0
Buck Grove,94.7,0,0,,19,19,0,0,0,0,0,0
Buffalo,85.9,5.6,3.2,31575,1226,1203,5,12,0,0,2,4
Buffalo Center,89,22.6,4,35432,841,830,0,0,0,0,0,11
Burchinal,100,0,0,,53,53,0,0,0,0,0,0
Burlington,90.8,19.1,6.9,25217,25492,22550,2030,68,89,0,92,663
Burr Oak,96,5.4,1.7,30089,242,242,0,0,0,0,0,0
Burt,87,6.5,2.8,30000,505,488,9,3,1,0,2,2
Bussey,89.5,9.9,7.7,24423,578,577,0,1,0,0,0,0
Calamus,96,7.5,3.3,31786,407,398,4,2,0,0,1,2
California Junction,47.8,10.9,0,43750,69,69,0,0,0,0,0,0
Callender,87,11.5,6.3,27917,422,419,0,0,0,0,3,0
Calmar,92.3,17.8,1,28160,1023,1003,19,0,0,0,1,0
Calumet,96.1,10.9,2.1,26354,192,177,2,0,6,0,0,7
Camanche,95.5,17.2,4.3,32667,4368,4312,0,0,0,0,0,56
Cambridge,93.3,26.1,4.7,38355,853,838,6,2,2,0,0,5
Cantril,81.5,10.1,3.5,26250,260,257,0,0,3,0,0,0
Carbon,97.3,27,14.3,,37,30,0,4,0,0,0,3
Carlisle,97.3,31.4,3.3,38505,4031,3838,0,0,44,0,0,149
Carpenter,77.6,9.2,13.6,34107,102,85,0,0,17,0,0,0
