city,category,sale.dollars,sale.volume
Cedar Falls,Misc,494165,27993
Cedar Falls,Whisky,1568696,93104
Cedar Falls,Rum,809757,57070
Cedar Falls,Brandy,80056,4982
Cedar Falls,Amaretto,21811,2194
Cedar Falls,Vodka,1223595,103382
Cedar Falls,Gin,135521,10515
Cedar Falls,Schnapps,301807,20729
Cedar Falls,Tequila,291477,18308
Cedar Falls,Distilled Spirits,17062,989
Gowrie,Misc,6449,446
Gowrie,Whisky,33407,2208
Gowrie,Rum,15264,1019
Gowrie,Gin,1698,134
Gowrie,Vodka,18536,1961
Gowrie,Brandy,1773,162
Gowrie,Tequila,3406,169
Gowrie,Amaretto,356,49
Gowrie,Schnapps,5139,386
Gowrie,Distilled Spirits,226,12
Waterloo,Misc,768992,44673
Waterloo,Whisky,2674736,165374
Waterloo,Brandy,1177406,54957
Waterloo,Rum,1037730,72782
Waterloo,Tequila,708352,35542
Waterloo,Gin,427482,32784
Waterloo,Vodka,2287865,177295
Waterloo,Amaretto,33984,3469
Waterloo,Schnapps,411180,28001
Waterloo,Distilled Spirits,103469,12364
West Union,Whisky,104745,7999
West Union,Gin,3712,338
West Union,Vodka,58023,6433
West Union,Misc,17764,1160
West Union,Rum,42386,3215
West Union,Brandy,5190,436
West Union,Tequila,10917,712
West Union,Amaretto,1713,229
West Union,Schnapps,22281,1755
Rockwell,Misc,5342,286
Rockwell,Tequila,1199,73
Rockwell,Rum,17589,1092
Rockwell,Whisky,41925,3472
Rockwell,Distilled Spirits,5,0
Rockwell,Gin,604,45
Rockwell,Vodka,17131,1935
Rockwell,Brandy,2098,199
Rockwell,Schnapps,5008,371
Rockwell,Amaretto,308,46
Fort Atkinson,Whisky,33047,2459
Fort Atkinson,Gin,1132,143
Fort Atkinson,Vodka,12680,1467
Fort Atkinson,Misc,5239,302
Fort Atkinson,Rum,17239,1125
Fort Atkinson,Brandy,4799,440
Fort Atkinson,Amaretto,670,80
Fort Atkinson,Tequila,2271,128
Fort Atkinson,Schnapps,10895,991
Waukon,Brandy,31885,2940
Waukon,Rum,100191,6562
Waukon,Tequila,17798,1118
Waukon,Misc,57855,3485
Waukon,Whisky,230471,17016
Waukon,Gin,8527,676
Waukon,Vodka,122120,12081
Waukon,Amaretto,1929,197
Waukon,Schnapps,68361,5219
Waukon,Distilled Spirits,3124,218
Des Moines,Vodka,9907123,771338
Des Moines,Misc,3397260,187528
Des Moines,Brandy,2177548,89852
Des Moines,Whisky,12225234,653282
Des Moines,Amaretto,120986,11081
Des Moines,Tequila,3428570,186907
Des Moines,Rum,4013435,286968
Des Moines,Schnapps,1409948,101552
Des Moines,Distilled Spirits,170983,15285
Des Moines,Gin,1220280,86697
Keokuk,Misc,178004,9237
Keokuk,Whisky,701182,39023
Keokuk,Amaretto,7819,836
Keokuk,Rum,286410,20364
Keokuk,Vodka,417977,38449
Keokuk,Tequila,126511,7003
Keokuk,Schnapps,162382,12078
Keokuk,Brandy,42891,2659
Keokuk,Gin,34091,2928
Keokuk,Distilled Spirits,24655,2898
Sac City,Misc,18973,1196
Sac City,Vodka,52010,5387
Sac City,Tequila,16000,963
Sac City,Whisky,139390,11544
Sac City,Rum,48721,3405
Sac City,Distilled Spirits,2645,283
Sac City,Gin,4814,404
Sac City,Brandy,6992,652
Sac City,Amaretto,2444,352
Sac City,Schnapps,13816,1224
Clarinda,Misc,38791,2593
Clarinda,Amaretto,2083,181
Clarinda,Whisky,185204,11390
Clarinda,Brandy,4378,357
Clarinda,Vodka,63641,6086
Clarinda,Tequila,21346,1406
Clarinda,Distilled Spirits,3386,242
Clarinda,Gin,6867,714
Clarinda,Rum,60422,4092
Clarinda,Schnapps,15440,1149
Winterset,Misc,50883,3334
Winterset,Amaretto,1501,156
Winterset,Whisky,249959,16216
Winterset,Tequila,35575,2768
Winterset,Vodka,125452,12384
Winterset,Brandy,9143,686
Winterset,Rum,69049,5024
Winterset,Schnapps,18401,1233
Winterset,Distilled Spirits,4880,368
Winterset,Gin,11558,945
Spirit Lake,Gin,70165,5131
Spirit Lake,Misc,193517,11912
Spirit Lake,Whisky,730796,50561
