county,category,sale.dollars,sale.volume
Black Hawk,Misc,1310459,75360
Black Hawk,Whisky,4490927,275531
Black Hawk,Rum,1953607,137217
Black Hawk,Brandy,1308312,62581
Black Hawk,Amaretto,58143,5916
Black Hawk,Vodka,3669281,296296
Black Hawk,Gin,579620,44616
Black Hawk,Schnapps,754695,51979
Black Hawk,Tequila,1040044,56138
Black Hawk,Distilled Spirits,124361,13533
Webster,Misc,323715,19383
Webster,Whisky,1142636,76594
Webster,Rum,524140,36895
Webster,Gin,79048,6402
Webster,Vodka,797751,72564
Webster,Brandy,157302,8678
Webster,Tequila,204349,12497
Webster,Amaretto,16008,1649
Webster,Schnapps,156437,10873
Webster,Distilled Spirits,15528,808
Fayette,Whisky,473437,35844
Fayette,Gin,14969,1482
Fayette,Vodka,217891,23777
Fayette,Misc,80715,5071
Fayette,Rum,163182,12221
Fayette,Brandy,25727,1950
Fayette,Tequila,50356,3391
Fayette,Amaretto,4719,595
Fayette,Schnapps,84803,6972
Cerro Gordo,Misc,488281,31649
Cerro Gordo,Tequila,387144,26184
Cerro Gordo,Rum,759626,55669
Cerro Gordo,Whisky,1904800,131745
Cerro Gordo,Distilled Spirits,22001,1140
Cerro Gordo,Gin,127047,9328
Cerro Gordo,Vodka,1373412,129311
Cerro Gordo,Brandy,158610,10723
Cerro Gordo,Schnapps,237926,17719
Cerro Gordo,Amaretto,23397,2395
Winneshiek,Whisky,430894,28228
Winneshiek,Gin,48167,3395
Winneshiek,Vodka,302431,28006
Winneshiek,Misc,123091,6948
Winneshiek,Rum,197902,13310
Winneshiek,Brandy,48442,4024
Winneshiek,Amaretto,6755,629
Winneshiek,Tequila,63072,4225
Winneshiek,Schnapps,79322,6261
Allamakee,Brandy,40302,3649
Allamakee,Rum,123946,8436
Allamakee,Tequila,22729,1451
Allamakee,Misc,69287,4301
Allamakee,Whisky,287559,21650
Allamakee,Gin,11174,901
Allamakee,Vodka,158147,15919
Allamakee,Amaretto,2381,239
Allamakee,Schnapps,79787,6237
Allamakee,Distilled Spirits,3430,232
Polk,Vodka,16434338,1288859
Polk,Misc,5464019,302997
Polk,Brandy,2661985,114798
Polk,Whisky,20496221,1084197
Polk,Amaretto,211535,17655
Polk,Tequila,4764464,276985
Polk,Rum,6905429,487875
Polk,Schnapps,1859058,132832
Polk,Distilled Spirits,265531,20152
Polk,Gin,1997056,137088
Lee,Misc,292287,15142
Lee,Whisky,1216591,71385
Lee,Amaretto,11300,1178
Lee,Rum,459113,32823
Lee,Vodka,685252,64075
Lee,Tequila,188375,10261
Lee,Schnapps,250612,18519
Lee,Brandy,86833,5378
Lee,Gin,56975,4951
Lee,Distilled Spirits,29232,3111
Sac,Misc,32237,1997
Sac,Vodka,93974,9762
Sac,Tequila,23763,1370
Sac,Whisky,233914,18749
Sac,Rum,95358,6530
Sac,Distilled Spirits,3109,307
Sac,Gin,8402,686
Sac,Brandy,9753,865
Sac,Amaretto,3312,468
Sac,Schnapps,24668,2021
Page,Misc,118591,7081
