zipcode,category,sale.dollars,sale.volume
50613,Misc,494165,27993
50613,Whisky,1568696,93104
50613,Rum,809757,57070
50613,Brandy,80056,4982
50613,Amaretto,21811,2194
50613,Vodka,1223595,103382
50613,Gin,135521,10515
50613,Schnapps,301807,20729
50613,Tequila,291477,18308
50613,Distilled Spirits,17062,989
50543,Misc,6449,446
50543,Whisky,33407,2208
50543,Rum,15264,1019
50543,Gin,1698,134
50543,Vodka,18536,1961
50543,Brandy,1773,162
50543,Tequila,3406,169
50543,Amaretto,356,49
50543,Schnapps,5139,386
50543,Distilled Spirits,226,12
50703,Misc,174277,9316
50703,Whisky,744737,43978
50703,Brandy,712442,31844
50703,Rum,254306,16965
50703,Tequila,271832,10835
50703,Gin,218302,16558
50703,Vodka,820483,52511
50703,Amaretto,8009,837
50703,Schnapps,129439,8590
50703,Distilled Spirits,5451,283
52175,Whisky,104745,7999
52175,Gin,3712,338
52175,Vodka,58023,6433
52175,Misc,17764,1160
52175,Rum,42386,3215
52175,Brandy,5190,436
52175,Tequila,10917,712
52175,Amaretto,1713,229
52175,Schnapps,22281,1755
50469,Misc,5342,286
50469,Tequila,1199,73
50469,Rum,17589,1092
50469,Whisky,41925,3472
50469,Distilled Spirits,5,0
50469,Gin,604,45
50469,Vodka,17131,1935
50469,Brandy,2098,199
50469,Schnapps,5008,371
50469,Amaretto,308,46
52144,Whisky,33047,2459
52144,Gin,1132,143
52144,Vodka,12680,1467
52144,Misc,5239,302
52144,Rum,17239,1125
52144,Brandy,4799,440
52144,Amaretto,670,80
52144,Tequila,2271,128
52144,Schnapps,10895,991
52172,Brandy,31885,2940
52172,Rum,100191,6562
52172,Tequila,17798,1118
52172,Misc,57855,3485
52172,Whisky,230471,17016
52172,Gin,8527,676
52172,Vodka,122120,12081
52172,Amaretto,1929,197
52172,Schnapps,68361,5219
52172,Distilled Spirits,3124,218
50314,Vodka,2493508,164233
50314,Misc,921755,49075
50314,Brandy,668284,24154
50314,Whisky,2836952,129752
50314,Amaretto,30278,2828
50314,Tequila,933206,47630
50314,Rum,928567,64542
50314,Schnapps,428490,31381
50314,Distilled Spirits,16262,1571
50314,Gin,327414,21881
52632,Misc,178004,9237
52632,Whisky,701182,39023
52632,Amaretto,7819,836
52632,Rum,286410,20364
52632,Vodka,417977,38449
52632,Tequila,126511,7003
52632,Schnapps,162382,12078
52632,Brandy,42891,2659
52632,Gin,34091,2928
52632,Distilled Spirits,24655,2898
50583,Misc,18973,1196
50583,Vodka,52010,5387
50583,Tequila,16000,963
50583,Whisky,139390,11544
50583,Rum,48721,3405
50583,Distilled Spirits,2645,283
50583,Gin,4814,404
50583,Brandy,6992,652
50583,Amaretto,2444,352
50583,Schnapps,13816,1224
51632,Misc,38791,2593
51632,Amaretto,2083,181
51632,Whisky,185204,11390
51632,Brandy,4378,357
51632,Vodka,63641,6086
51632,Tequila,21346,1406
51632,Distilled Spirits,3386,242
51632,Gin,6867,714
51632,Rum,60422,4092
51632,Schnapps,15440,1149
50273,Misc,50883,3334
50273,Amaretto,1501,156
50273,Whisky,249959,16216
50273,Tequila,35575,2768
50273,Vodka,125452,12384
50273,Brandy,9143,686
50273,Rum,69049,5024
50273,Schnapps,18401,1233
50273,Distilled Spirits,4880,368
50273,Gin,11558,945
51360,Gin,70165,5131
51360,Misc,193517,11912
51360,Whisky,730796,50561
51360,Vodka,510885,47269
51360,Brandy,29959,2145
51360,Rum,370199,26078
51360,Tequila,113339,8131
51360,Distilled Spirits,19731,2211
51360,Amaretto,6929,743
51360,Schnapps,94133,6423
50009,Misc,214560,12823
50009,Whisky,738673,43028
50009,Tequila,145529,10411
50009,Gin,49068,3513
50009,Vodka,599751,50122
50009,Rum,341864,24537
50009,Brandy,36787,2086
50009,Amaretto,10629,899
50009,Schnapps,64271,4759
50312,Whisky,542123,22315
50312,Misc,126576,5399
50312,Vodka,357884,28281
50312,Tequila,60844,3050
50312,Brandy,62867,2331
50312,Rum,84918,5709
50312,Distilled Spirits,3054,133
50312,Gin,72731,4289
50312,Amaretto,3624,193
50312,Schnapps,11984,919
50220,Whisky,203976,15786
50220,Rum,85832,6157
50220,Misc,35752,2547
50220,Schnapps,14769,1207
52240,Whisky,2570690,132464
52240,Misc,705288,42334
52240,Brandy,316818,12587
52240,Tequila,578611,32442
52240,Distilled Spirits,30737,2595
52240,Gin,351552,24118
52240,Vodka,2317104,185421
52240,Rum,891421,67628
52240,Amaretto,22241,1888
52240,Schnapps,298110,21747
50588,Whisky,598877,41254
50588,Misc,124911,7655
50588,Vodka,289423,27167
50588,Rum,232999,17301
50588,Brandy,121982,5467
50588,Tequila,119398,6301
50588,Gin,43111,3747
50588,Distilled Spirits,4745,220
50588,Amaretto,5600,649
50588,Schnapps,54168,4102
50841,Misc,13064,780
50841,Whisky,103643,7006
50841,Vodka,25321,2686
50841,Schnapps,7172,518
50841,Tequila,9413,712
50841,Distilled Spirits,1044,68
50841,Gin,2333,212
50841,Rum,14309,985
50841,Brandy,2900,249
50841,Amaretto,450,60
52136,Misc,59437,3500
52136,Whisky,215383,15916
52136,Brandy,26187,2376
52136,Rum,113311,8130
52136,Vodka,121868,13531
52136,Tequila,25459,1637
52136,Gin,11508,925
52136,Distilled Spirits,1287,60
52136,Amaretto,2318,269
52136,Schnapps,65022,4992
51601,Misc,79800,4487
51601,Whisky,320190,19436
51601,Rum,104230,7501
51601,Vodka,125589,11932
51601,Schnapps,27732,2149
51601,Gin,14762,1194
51601,Brandy,8538,649
51601,Tequila,57753,4093
51601,Amaretto,2214,252
51601,Distilled Spirits,3027,157
52001,Misc,314314,18577
52001,Whisky,1233422,74803
52001,Rum,632085,44121
52001,Brandy,302518,13061
52001,Tequila,210489,10911
52001,Gin,120341,8952
52001,Vodka,1100610,94236
52001,Amaretto,20225,1842
52001,Schnapps,197965,13346
52001,Distilled Spirits,23521,2545
50309,Whisky,77193,5182
50309,Gin,8715,772
50309,Vodka,116843,11422
50309,Rum,17955,1109
50309,Brandy,26790,1043
50309,Amaretto,106,4
50309,Misc,6810,273
50309,Tequila,7127,243
51560,Misc,7587,458
51560,Whisky,46955,3035
51560,Gin,1967,177
51560,Vodka,24855,2913
51560,Rum,13917,912
51560,Brandy,2935,234
51560,Tequila,3731,167
51560,Schnapps,3380,320
51560,Amaretto,680,98
50125,Misc,161232,9235
50125,Vodka,354088,33467
50125,Whisky,533120,33415
50125,Rum,231150,16723
50125,Brandy,19777,1547
50125,Tequila,72157,5253
50125,Distilled Spirits,9511,434
50125,Gin,37263,3145
50125,Amaretto,4713,554
50125,Schnapps,52970,3566
50115,Brandy,1483,113
