"zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
50001,91.9,18.3,7.6,40132,575,566,0,0,0,0,0,9,NA,NA,NA
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Schnapps",956,67
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Brandy",670,34
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Misc",2196,89
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Whisky",19034,1083
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Gin",521,36
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Vodka",11760,969
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Tequila",1032,34
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Amaretto",18,3
50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Rum",6921,440
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Rum",42835,3385
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Brandy",3909,288
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Amaretto",785,69
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Vodka",76744,7567
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Distilled Spirits",1626,69
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Gin",6622,591
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Schnapps",5992,474
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Tequila",18351,1367
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Misc",23034,1494
50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Whisky",126213,8458
50005,89.7,19,4.9,31528,1007,929,0,0,0,0,4,74,NA,NA,NA
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Whisky",44967,3003
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Brandy",564,54
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Gin",2049,226
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Schnapps",2592,206
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Distilled Spirits",295,14
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Tequila",2113,99
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Amaretto",333,47
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Rum",19915,1413
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Misc",4662,280
50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Vodka",16466,1695
50007,97,31.7,1.3,41591,595,588,0,0,0,0,3,4,NA,NA,NA
50008,94,11.6,1.3,21875,978,939,11,7,0,0,0,21,NA,NA,NA
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Rum",341864,24537
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Misc",214560,12823
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Gin",49068,3513
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Tequila",145529,10411
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Schnapps",64271,4759
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Distilled Spirits",11623,501
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Amaretto",10629,899
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Whisky",738673,43028
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Vodka",599751,50122
50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Brandy",36787,2086
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Tequila",370111,23588
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Rum",1014614,76132
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Brandy",176572,9343
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Amaretto",28370,2587
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Vodka",1649416,140290
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Whisky",2446231,138567
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Gin",241578,17743
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Schnapps",208793,14812
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Distilled Spirits",68039,7284
50010,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082,"Misc",619504,36462
50011,NA,NA,21.9,2978,1587,1525,20,0,0,0,0,42,NA,NA,NA
50012,100,0,19.7,3175,4743,4420,122,0,120,0,47,34,NA,NA,NA
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Distilled Spirits",1245,69
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Rum",96367,7940
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Schnapps",29681,2387
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Gin",10825,1013
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Brandy",11068,419
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Tequila",21752,1176
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Whisky",164178,9850
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Amaretto",2471,324
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Misc",43093,2369
50014,97.3,65.7,5.1,11995,29725,25335,658,22,2513,11,143,1043,"Vodka",121142,10447
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Whisky",32308,2371
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Tequila",2493,193
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Distilled Spirits",513,23
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Misc",5631,391
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Schnapps",2573,232
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Brandy",3592,327
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Vodka",13878,1599
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Gin",1020,72
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Rum",6645,474
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Amaretto",373,35
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Amaretto",15868,1317
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Schnapps",80686,5565
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Gin",92151,6946
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Whisky",1108982,62969
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Vodka",840631,71929
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Rum",444664,31604
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Tequila",210297,15818
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Distilled Spirits",20415,1583
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Misc",293936,17265
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Brandy",60927,3706
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Amaretto",2578,262
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Schnapps",36294,2876
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Gin",21140,1892
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Vodka",186212,18284
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Misc",101436,5471
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Distilled Spirits",6561,310
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Brandy",12981,1043
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Tequila",53687,3635
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Rum",137736,10158
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Whisky",454152,30570
